Ville,Type,Surface,Nbr de pieces,Nbr de chambres,Nbr de salle de bains,DPE,Prix
issy les moulineaux,Appartement,137,5,4,2,-,849000
versailles,Appartement,54,3,3,1,-,273000
saclay,Maison,145,5,3,2,-,379000
paris 16,Appartement,90,3,2,2,-,95454
rosny sous bois,Appartement,44,2,1,1,-,178000
paris 8,Maison,500,1,1,1,-,1000000
ablon sur seine,Maison,150,6,3,3,-,455000
bezons,Appartement,55,3,2,1,-,225000
le mesnil le roi,Appartement,33,2,1,1,-,125000
villeparisis,Appartement,42,2,1,1,-,135000
morsang sur orge,Maison,120,5,3,2,-,359000
paris 9,Maison,140,7,3,1,-,130000
livry gargan,Appartement,54,54,2,1,-,160000
sevran,Appartement,72,72,3,1,-,155000
sts,Maison,218,8,5,3,-,443000
sancy les provins,Appartement,61,3,2,1,-,107000
paris 9,Appartement,93,3,2,2,-,550000
sancy les provins,Maison,240,8,3,1,-,198000
montlhery,Appartement,40,2,1,1,-,139000
st leger en yvelines,Appartement,67,3,2,1,-,241500
vaux le penil,Appartement,81,4,3,1,-,219000
aulnay sous bois,Appartement,44,2,1,1,-,89000
paris 10,Appartement,500,-,-,-,-,800000
paris 10,Appartement,500,-,-,-,-,150000
asnieres sur seine,Appartement,45,2,1,1,-,225000
asnieres sur seine,Appartement,45,2,1,1,-,229000
pecqueuse,Maison,100,6,4,-,-,98000
ris orangis,Maison,96,6,4,2,-,255000
le perreux sur marne,Appartement,50,2,1,1,-,215000
champigny sur marne,Appartement,72,4,2,1,-,197000
paris 18,Appartement,100,4,3,2,-,49000
paris 11,Appartement,60,3,2,1,-,550000
sancy les provins,Maison,70,4,2,1,-,144000
paris 10,Appartement,20,1,1,1,-,83000
la frette sur seine,Maison,86,5,3,1,-,325000
verneuil sur seine,Appartement,63,4,3,1,-,179500
ris orangis,Appartement,52,2,1,1,-,128000
saulx les chartreux,Maison,120,6,4,1,-,356000
chevilly larue,Appartement,34,1,-,1,-,134900
vaugrigneuse,Maison,150,5,4,2,-,525000
asnieres sur seine,Appartement,59,3,2,1,-,275000
villeneuve le roi,Appartement,44,3,2,1,-,164000
yebles,Maison,180,7,5,4,-,380000
viry châtillon,Appartement,77,4,2,1,-,169000
la courneuve,Maison,80,4,3,1,-,298000
asnieres sur seine,Appartement,64,3,2,1,-,382000
soindres,Maison,100,3,2,1,-,235000
chevilly larue,Appartement,85,4,3,1,-,256000
paris 1,Appartement,67,2,1,1,-,835000
nesles la vallee,Maison,220,7,5,3,-,499000
vaux le penil,Maison,160,6,4,2,-,329000
le raincy,Appartement,69,4,2,1,-,260000
le raincy,Appartement,64,3,2,1,-,194000
nanterre,Appartement,65,3,2,1,-,345000
montfermeil,Maison,200,8,6,2,-,476000
paris 10,Appartement,130,5,3,-,-,150000
paris 10,Appartement,130,5,3,-,-,150000
l hay les roses,Appartement,73,4,2,1,-,225000
evry,Appartement,31,1,-,1,-,117000
thiais,Appartement,90,5,3,1,-,233000
paris 20,Appartement,73,4,3,1,-,577000
taverny,Appartement,46,2,1,1,-,165000
bagneux,Appartement,74,3,2,1,-,265000
sevran,Appartement,52,3,2,1,-,160000
evry,Appartement,24,1,-,1,-,115000
drancy,Appartement,318,-,-,-,-,900000
epinay sur seine,Appartement,69,4,3,1,-,158000
viry châtillon,Appartement,76,4,3,1,-,259000
vieux champagne,Maison,100,4,2,1,-,240000
paris 8,Appartement,106,3,-,-,-,75008
nanterre,Appartement,84,5,3,1,-,334000
villiers le bel,Appartement,38,2,-,-,-,154000
villiers le bel,Appartement,33,1,-,-,-,149000
perigny,Maison,120,6,5,1,-,345000
vincennes,Appartement,79,3,2,1,-,740000
vinantes,Maison,80,4,3,1,-,240000
pontoise,Maison,60,4,-,-,-,199000
paris 8,Appartement,40,2,1,1,-,660000
aubervilliers,Appartement,36,2,1,1,-,119000
paris 18,Appartement,100,100,4,1,-,685000
paris 18,Appartement,100,100,4,1,-,685000
mours,Maison,137,6,4,3,-,337000
serris,Appartement,65,3,2,1,-,235000
la courneuve,Appartement,35,35,2,1,-,135000
villejust,Appartement,72,4,2,1,-,239000
brou sur chantereine,Appartement,76,4,3,1,-,189000
vitry sur seine,Appartement,53,3,2,1,-,185000
vitry sur seine,Appartement,53,3,2,1,-,185000
